date, pm25, pm10, o3, no2, so2, co
2018/2/15, 95, 60, 28, 5, 5, 4
2018/2/16, 124, 41, 27, 4, 2, 4
2018/2/17, 90, 32, 25, 2, 2, 5
2018/2/18, 74, 29, 22, 2, 1, 5
2018/2/19, 66, 23, 31, 3, 5, 5
2018/2/20, 58, 22, 19, 3, 2, 5
2018/2/21, 58, 22, 19, 3, 2, 5
2018/2/22, 59, 14, 29, 3, 2, 7
2018/2/23, 31, 26, 31, 4, 2, 7
2018/2/24, 62, 28, 31, 4, 2, 6
2018/2/25, 59, 31, 41, 4, 1, 7
2018/2/26, 72, 26, 43, 3, 2, 6
2018/2/27, 51, 26, 28, 3, 1, 6
2018/2/28, 59, 22, 22, 4, 1, 6
2018/3/1, 52, 24, 15, 4, 1, 6
2018/3/2, 57, 27, 17, 2, 1, 4
2018/3/3, 59, 23, 16, 3, 1, 4
2018/3/4, 56, 27, 16, 3, 1, 4
2018/3/5, 48, 24, 29, 4, 2, 5
2018/3/6, 59, 32, 21, 3, 1, 5
2018/3/7, 61, 24, 19, 5, 1, 8
2018/3/8, 49, 18, 30, 5, 1, 7
2018/3/9, 57, 32, 48, 4, 1, 6
2018/3/10, 64, 35, 43, 6, 1, 6
2018/3/11, 66, 34, 37, 4, 2, 6
2018/3/12, 59, 32, 33, 5, 2, 5
2018/3/13, 60, 28, 28, 7, 2, 5
2018/3/14, 65, 29, 40, 9, 2, 6
2018/3/15, 70, 32, 31, 7, 1, 6
2018/3/16, 67, 27, 33, 4, 2, 6
2018/3/17, 66, 28, 35, 4, 2, 6
2018/3/18, 64, 34, 29, 9, 2, 6
2018/3/19, 64, 28, 52, 9, 2, 7
2018/3/20, 61, 33, 52, 6, 2, 7
2018/3/21, 72, 41, 75, 6, 2, 7
2018/3/22, 79, 50, 62, 8, 2, 6
2018/3/23, 78, 47, 42, 4, 2, 6
2018/3/24, 69, 51, 39, 4, 1, 5
2018/3/25, 77, 47, 40, 4, 2, 6
2018/3/26, 73, 40, 41, 5, 2, 6
2018/3/27, 72, 46, 51, 5, 1, 7
2018/3/28, 89, 38, 37, 5, 1, 6
2018/3/29, 79, 34, 36, 5, 1, 5
2018/3/30, 69, 33, 49, 4, 1, 5
2018/3/31, 67, 35, 36, 5, 1, 5
2017/10/1, 39, 16, 13, 4, 1, 5
2017/10/2, 40, 18, 12, 3, 1, 5
2017/10/3, 30, 18, 14, 2, 1, 5
2017/10/4, 32, 15, 22, 5, 1, 6
2017/10/5, 33, 15, 21, 5, 2, 6
2017/10/6, 30, 15, 16, 4, 1, 6
2017/10/7, 31, 24, 30, 3, 1, 6
2017/10/8, 54, 24, 27, 8, 2, 6
2017/10/9, 44, 18, 20, 4, 2, 6
2017/10/10, 29, 16, 14, 4, 1, 5
2017/10/11, 32, 25, 29, 7, 1, 6
2017/10/12, 47, 41, 57, 11, 2, 8
2017/10/13, 81, 41, 43, 8, 2, 8
2017/10/14, 82, 24, 34, 7, 2, 8
2017/10/15, 54, 15, 35, 6, 2, 8
2017/10/16, 28, 24, 31, 9, 2, 8
2017/10/17, 49, 32, 28, 6, 1, 6
2017/10/18, 55, 32, 49, 7, 1, 5
2017/10/19, 71, 35, 42, 8, 1, 6
2017/10/20, 70, 34, 43, 7, 1, 6
2017/10/21, 71, 34, 42, 5, 1, 6
2017/10/22, 81, 49, 68, 5, 2, 7
2017/10/23, 112, 49, 65, 4, 2, 6
2017/10/24, 107, 50, 63, 4, 2, 6
2017/10/25, 94, 58, 83, 9, 5, 7
2017/10/26, 122, 69, 97, 13, 4, 8
2017/10/27, 154, 70, 103, 13, 5, 9
2017/10/28, 151, 66, 84, 12, 4, 9
2017/10/29, 153, 57, 86, 6, 3, 6
2017/10/30, 125, 55, 72, 6, 2, 6
2017/10/31, 109, 45, 52, 4, 1, 5
2017/11/1, 84, 52, 75, 12, 1, 6
2017/11/2, 98, 60, 80, 17, 3, 7
2017/11/3, 132, 40, 92, 5, 2, 6
2017/11/4, 88, 46, 66, 5, 1, 7
2017/11/5, 97, 33, 78, 8, 1, 7
2017/11/6, 81, 15, 50, 10, , 7
2017/11/7, 30, 24, 31, 6, 1, 6
2017/11/8, 55, 26, 30, 4, 1, 4
2017/11/9, 53, 38, 41, 4, , 5
2017/11/10, 75, 31, 52, 9, 1, 6
2017/11/11, 70, 38, 31, 13, 2, 6
2017/11/12, 79, 21, 19, 9, 1, 6
2017/11/13, 50, 20, 31, 5, 1, 5
2017/11/14, 34, 23, 20, 5, 1, 5
2017/11/15, 50, 27, 20, 4, , 5
2017/11/16, 64, 26, 18, 7, 1, 5
2017/11/17, 55, 26, 20, 7, 1, 6
2017/11/18, 55, 29, 31, 4, 1, 6
2017/11/19, 63, 13, 25, 5, , 6
2017/11/20, 30, 10, 23, 6, 1, 6
2017/11/21, 24, 12, 16, 4, 1, 6
2017/11/22, 27, 19, 22, 4, 1, 7
2017/11/23, 59, 32, 38, 6, 2, 7
2017/11/24, 79, 26, 39, 9, 2, 7
2017/11/25, 62, 25, 37, 9, 1, 7
2017/11/26, 65, 30, 41, 9, 1, 7
2017/11/27, 71, 28, 35, 5, 3, 6
2017/11/28, 64, 33, 34, 5, 1, 5
2017/11/29, 64, 33, 29, 6, 1, 5
2017/11/30, 65, 34, 40, 5, 5, 6
2017/12/1, 71, 18, 33, 6, 1, 7
2017/12/2, 45, 22, 37, 7, 2, 6
2017/12/3, 51, 31, 49, 6, 2, 6
2017/12/4, 75, 43, 49, 6, 2, 7
2017/12/5, 97, 46, 48, 6, 1, 6
2017/12/6, 89, 43, 45, 5, 1, 6
2017/12/7, 82, 50, 50, 6, 2, 7
2017/12/8, 116, 58, 66, 8, 2, 8
2017/12/9, 137, 61, 65, 12, 2, 9
2017/12/10, 134, 64, 66, 12, 3, 10
2017/12/11, 144, 51, 66, 8, 1, 9
2017/12/12, 111, 27, 41, 6, , 6
2017/12/13, 51, 25, 27, 6, 1, 5
2017/12/14, 52, 31, 31, 5, 1, 4
2017/12/15, 53, 26, 33, 6, 1, 6
2017/12/16, 58, 27, 40, 6, 1, 7
2017/12/17, 63, 41, 44, 8, 1, 6
2017/12/18, 92, 47, 51, 12, 2, 6
2017/12/19, 94, 44, 50, 10, 3, 6
2017/12/20, 82, 50, 41, 14, 2, 7
2017/12/21, 88, 23, 41, 7, 1, 7
2017/12/22, 40, 25, 36, 5, 1, 7
2017/12/23, 59, 37, 51, 7, 2, 7
2017/12/24, 85, 60, 68, 11, 3, 8
2017/12/25, 135, 29, 52, 6, 1, 8
2017/12/26, 54, 36, 46, 4, 1, 5
2017/12/27, 74, 22, 37, 5, 1, 5
2017/12/28, 44, 31, 33, 5, 1, 5
2017/12/29, 63, 35, 38, 5, 1, 5
2017/12/30, 66, 43, 46, 7, 2, 6
2017/12/31, 100, 36, 42, 5, 1, 6
2017/7/1, 37, 24, 27, 6, 1, 5
2017/7/2, 47, 21, 23, 6, 1, 5
2017/7/3, 36, 24, 23, 7, 1, 5
2017/7/4, 48, 20, 27, 7, 1, 5
2017/7/5, 39, 16, 21, 6, 1, 4
2017/7/6, 41, 18, 18, 8, 1, 5
2017/7/7, 38, 26, 20, 7, 1, 6
2017/7/8, 54, 23, 24, 4, 1, 4
2017/7/9, 43, 20, 26, 3, 1, 4
2017/7/10, 51, 23, 33, 3, 1, 5
2017/7/11, 54, 15, 13, 3, 1, 6
2017/7/12, 30, 14, 14, 4, 1, 6
2017/7/13, 29, 17, 20, 8, 1, 7
2017/7/14, 35, 19, 21, 6, 2, 7
2017/7/15, 31, 24, 19, 2, 1, 5
2017/7/16, 28, 30, 23, 2, 1, 4
2017/7/17, 58, 17, 20, 5, 1, 4
2017/7/18, 33, 21, 20, 6, 1, 4
2017/7/19, 44, 22, 20, 4, 1, 4
2017/7/20, 44, 18, 19, 5, 1, 4
2017/7/21, 37, 23, 22, 7, 1, 5
2017/7/22, 44, 23, 15, 9, 1, 7
2017/7/23, 39, 26, 27, 8, 1, 6
2017/7/24, 58, 19, 28, 2, 16, 5
2017/7/25, 62, 18, 19, 5, 1, 5
2017/7/26, 46, 26, 25, 7, 2, 5
2017/7/27, 43, 24, 24, 9, 1, 5
2017/7/28, 39, 18, 26, 6, 1, 5
2017/7/29, 32, 17, 28, 4, 1, 4
2017/7/30, 33, 21, 32, 4, 1, 4
2017/7/31, 53, 28, 31, 4, 1, 4
2017/8/1, 55, 35, 30, 4, 1, 4
2017/8/2, 63, 31, 30, 5, 1, 4
2017/8/3, 59, 29, 26, 7, 1, 5
2017/8/4, 55, 30, 26, 7, 2, 5
2017/8/5, 59, 21, 25, 6, 2, 5
2017/8/6, 37, 23, 17, 8, 2, 5
2017/8/7, 41, 22, 21, 7, 1, 5
2017/8/8, 42, 24, 28, 7, 1, 5
2017/8/9, 40, 22, 28, 4, 1, 4
2017/8/10, 43, 31, 27, 6, 1, 5
2017/8/11, 58, 32, 26, 3, 1, 4
2017/8/12, 54, 29, 22, 3, 1, 4
2017/8/13, 46, 27, 18, 4, 1, 4
2017/8/14, 41, 24, 18, 4, 2, 4
2017/8/15, 40, 21, 15, 5, 2, 4
2017/8/16, 40, 19, 15, 5, 2, 4
2017/8/17, 39, 19, 12, 5, 2, 5
2017/8/18, 41, 20, 13, 4, 2, 4
2017/8/19, 40, 17, 14, 4, 2, 4
2017/8/20, 27, 16, 19, 4, 2, 4
2017/8/21, 25, 13, 31, 4, 1, 3
2017/8/22, 27, 33, 22, 11, 1, 5
2017/8/23, 58, 34, 22, 5, 1, 5
2017/8/24, 58, 24, 20, 5, 2, 5
2017/8/25, 37, 14, 15, 4, 1, 5
2017/8/26, 27, 14, 18, 5, 1, 5
2017/8/27, 28, 19, 10, 7, 1, 6
2017/8/28, 40, 17, 12, 6, 1, 6
2017/8/29, 37, 19, 17, 5, 4, 5
2017/8/30, 39, 21, 19, 6, 2, 5
2017/8/31, 35, 23, 20, 7, 1, 5
2017/9/1, 42, 20, 26, 6, 1, 5
2017/9/2, 39, 23, 20, 7, 1, 5
2017/9/3, 50, 23, 22, 5, 1, 5
2017/9/4, 44, 25, 25, 3, 1, 4
2017/9/5, 50, 29, 13, 8, 1, 4
2017/9/6, 49, , , , , 
2017/9/11, 35, 25, 24, 7, 2, 5
2017/9/12, 51, 31, 35, 11, 2, 6
2017/9/13, 61, 27, 23, 9, 1, 6
2017/9/14, 51, 52, 28, 1, 1, 5
2017/9/15, 65, 41, 18, 3, 1, 7
2017/9/16, 59, 33, 22, 7, 1, 7
2017/9/17, 60, 31, 29, 8, 1, 8
2017/9/18, 58, 33, 14, 6, 1, 6
2017/9/19, 55, 30, 25, 7, 4, 5
2017/9/20, 65, 33, 24, 10, 1, 6
2017/9/21, 67, 26, 20, 7, 1, 5
2017/9/22, 61, 27, 18, 5, 1, 5
2017/9/23, 69, 36, 12, 9, 1, 6
2017/9/24, 67, 17, 20, 3, 1, 4
2017/9/25, 28, 21, 18, 4, 3, 5
2017/9/26, 39, 17, 20, 5, 1, 4
2017/9/27, 39, 19, 17, 7, 1, 5
2017/9/28, 38, 13, 13, 5, 1, 4
2017/9/29, 26, 19, 16, 6, 2, 4
2017/9/30, 36, 21, 21, 6, 2, 5
2017/4/1, 36, 40, 67, 4, 2, 6
2017/4/2, 69, 47, 61, 2, 3, 7
2017/4/3, 80, 43, 48, 2, 4, 5
2017/4/4, 64, 36, 36, 4, 4, 5
2017/4/5, 60, 32, 26, 5, 2, 5
2017/4/6, 63, 27, 22, 3, 1, 4
2017/4/7, 54, 27, 21, 4, 1, 5
2017/4/8, 56, 30, 19, 4, 1, 5
2017/4/9, 58, 32, 23, 3, , 5
2017/4/10, 54, 32, 24, 6, 1, 5
2017/4/11, 58, 35, 23, 5, , 5
2017/4/12, 61, 25, 44, 7, , 7
2017/4/13, 41, 23, 47, 7, , 7
2017/4/14, 54, 21, 29, 6, 1, 6
2017/4/15, 45, 22, 23, 4, 1, 5
2017/4/16, 48, 19, 24, 5, 1, 5
2017/4/17, 48, 27, 21, 7, 1, 6
2017/4/18, 60, 35, 28, 6, 1, 5
2017/4/19, 81, 35, 31, 5, , 6
2017/4/20, 65, 42, 37, 4, , 5
2017/4/21, 85, 37, 44, 5, , 6
2017/4/22, 75, 25, 50, 5, , 6
2017/4/23, 58, 31, 38, 7, , 6
2017/4/24, 59, 30, 30, 7, 6, 5
2017/4/25, 62, 27, 28, 4, 1, 5
2017/4/26, 59, 30, 28, 5, 1, 5
2017/4/27, 59, 27, 41, 6, , 6
2017/4/28, 63, 32, 50, 7, 5, 7
2017/4/29, 74, 34, 43, 6, 1, 6
2017/4/30, 74, 28, 36, 4, 1, 6
2017/5/1, 66, 30, 32, 6, 2, 5
2017/5/2, 61, 27, 18, 4, 1, 4
2017/5/3, 56, 28, 18, 3, 1, 4
2017/5/4, 53, 24, 24, 6, 1, 5
2017/5/5, 59, 28, 17, 6, 2, 6
2017/5/6, 57, 28, 16, 4, 1, 5
2017/5/7, 55, 28, 19, 4, 1, 5
2017/5/8, 56, 22, 20, 4, 2, 5
2017/5/9, 47, 21, 31, 4, , 6
2017/5/10, 42, 21, 23, 3, 1, 8
2017/5/11, 43, 24, 23, 5, 1, 6
2017/5/12, 54, 24, 21, 7, 1, 5
2017/5/13, 46, 21, 22, 4, 1, 5
2017/5/14, 49, 20, 16, 7, 3, 5
2017/5/15, 32, 14, 41, 5, 1, 5
2017/5/16, 40, 26, 51, 7, 1, 5
2017/5/17, 57, 34, 48, 7, 1, 6
2017/5/18, 67, 30, 35, 4, , 5
2017/5/19, 60, 15, 26, 4, 3, 4
2017/5/20, 30, 22, 25, 5, 1, 5
2017/5/21, 46, 21, 26, 4, 1, 5
2017/5/22, 47, 24, 35, 5, 1, 6
2017/5/23, 49, 31, 32, 6, 1, 5
2017/5/24, 56, 22, 38, 6, 1, 6
2017/5/25, 45, 23, 40, 8, 1, 7
2017/5/26, 56, 31, 45, 9, 1, 8
2017/5/27, 61, 33, 60, 7, 1, 6
2017/5/28, 62, 30, 48, 6, 1, 6
2017/5/29, 60, 25, 29, 6, 1, 6
2017/5/30, 54, 20, 23, 6, 1, 6
2017/5/31, 39, 19, 28, 3, , 4
2017/6/1, 38, 22, 31, 3, , 5
2017/6/2, 49, 25, 31, 4, , 4
2017/6/3, 45, 24, 30, 6, , 5
2017/6/4, 42, 28, 26, 9, 1, 5
2017/6/5, 42, 32, 26, 9, 1, 5
2017/6/6, 53, 15, 22, 5, 1, 5
2017/6/7, 33, 20, 18, 5, 1, 5
2017/6/8, 38, 21, 19, 5, 1, 5
2017/6/9, 45, 20, 24, 5, 1, 5
2017/6/10, 31, 21, 24, 5, 1, 5
2017/6/11, 34, 17, 25, 5, 1, 5
2017/6/12, 34, 23, 30, 5, 4, 5
2017/6/13, 42, 40, 30, 3, 1, 5
2017/6/14, 67, 30, 30, 3, 1, 5
2017/6/15, 51, 26, 30, 5, , 5
2017/6/16, 50, 36, 31, 6, 1, 6
2017/6/17, 63, 25, 22, 10, 1, 8
2017/6/18, 52, 30, 18, 11, 1, 9
2017/6/19, 57, 31, 20, 12, 3, 9
2017/6/20, 60, 29, 27, 9, 1, 7
2017/6/21, 52, 33, 30, 4, 1, 4
2017/6/22, 64, 23, 21, 3, 1, 4
2017/6/23, 38, 24, 24, 4, 1, 5
2017/6/24, 46, 28, 25, 3, 1, 5
2017/6/25, 42, 26, 23, 2, 1, 4
2017/6/26, 36, 25, 34, 3, 1, 5
2017/6/27, 44, 24, 17, 3, , 4
2017/6/28, 39, 20, 15, 4, 1, 5
2017/6/29, 38, 22, 19, 5, 1, 5
2017/6/30, 41, 22, 28, 5, 1, 5
2017/1/2, 60, 37, 49, 9, 1, 5
2017/1/3, 66, 33, 36, 5, 1, 4
2017/1/4, 64, 34, 38, 6, 1, 5
2017/1/5, 65, 33, 33, 6, 1, 5
2017/1/6, 67, 32, 26, 9, 2, 5
2017/1/7, 60, 27, 27, 6, 1, 5
2017/1/8, 54, 37, 39, 5, 1, 5
2017/1/9, 78, 40, 41, 4, 1, 7
2017/1/10, 75, 40, 38, 3, 1, 8
2017/1/11, 72, 40, 35, 4, 1, 8
2017/1/12, 73, 31, 46, 9, 1, 9
2017/1/13, 61, 21, 42, 12, 4, 10
2017/1/14, 38, 12, 30, 6, 1, 8
2017/1/15, 26, 20, 34, 4, 1, 7
2017/1/16, 40, 33, 32, 4, 1, 6
2017/1/17, 54, 30, 33, 4, 1, 6
2017/1/18, 51, 38, 34, 7, 1, 6
2017/1/19, 64, 33, 36, 4, 1, 6
2017/1/20, 65, 27, 37, 4, 1, 7
2017/1/21, 63, 39, 48, 4, 1, 8
2017/1/22, 92, 41, 46, 4, 1, 7
2017/1/23, 93, 33, 49, 6, 1, 6
2017/1/24, 69, 24, 35, 3, , 4
2017/1/25, 47, 32, 44, 2, 1, 4
2017/1/26, 69, 41, 44, 3, 2, 4
2017/1/27, 84, 47, 44, 5, 5, 4
2017/1/28, 94, 42, 35, 6, 2, 5
2017/1/29, 86, 35, 35, 7, 2, 5
2017/1/30, 74, 30, 28, 7, 4, 6
2017/1/31, 67, 15, 31, 2, 1, 5
2017/2/1, 30, 26, 33, 2, 1, 5
2017/2/2, 54, 20, 33, 2, 1, 5
2017/2/3, 44, 27, 32, 4, , 6
2017/2/4, 52, 23, 42, 5, , 6
2017/2/5, 43, 33, 41, 5, 1, 6
2017/2/6, 67, 35, 40, 3, 1, 7
2017/2/7, 61, 45, 33, 4, 1, 7
2017/2/8, 81, 20, 34, 4, 1, 8
2017/2/9, 47, 33, 42, 4, 1, 8
2017/2/10, 89, 38, 41, 4, 3, 8
2017/2/11, 97, 48, 59, 5, 1, 7
2017/2/12, 123, 47, 58, 4, 2, 7
2017/2/13, 104, 37, 50, 4, 5, 6
2017/2/14, 68, 36, 40, 3, 1, 5
2017/2/15, 65, 32, 39, 3, 1, 4
2017/2/16, 56, 31, 36, 14, 1, 4
2017/2/17, 58, 30, 36, 5, 1, 4
2017/2/18, 60, 40, 33, 7, 1, 5
2017/2/19, 70, 40, 28, 7, 1, 5
2017/2/20, 75, 26, 20, 5, 1, 5
2017/2/21, 56, 18, 22, 4, 1, 4
2017/2/22, 43, 23, 17, 4, 1, 4
2017/2/23, 51, 22, 40, 6, 1, 6
2017/2/24, 50, 21, 38, 7, 1, 7
2017/2/25, 38, 16, 33, 6, 1, 7
2017/2/26, 35, 22, 47, 6, 1, 6
2017/2/27, 43, 33, 46, 5, 7, 6
2017/2/28, 68, 46, 50, 7, 1, 7
2017/3/1, 88, 59, 80, 7, 2, 7
2017/3/2, 133, 59, 69, 6, 1, 7
2017/3/3, 126, 52, 50, 6, 1, 6
2017/3/4, 100, 52, 32, 10, 1, 6
2017/3/5, 88, 43, 24, 10, 1, 6
2017/3/6, 71, 38, 28, 7, 1, 6
2017/3/7, 67, 37, 34, 6, , 5
2017/3/8, 72, 30, 40, 4, 1, 6
2017/3/9, 59, 44, 39, 7, 1, 6
2017/3/10, 83, 43, 25, 9, 1, 6
2017/3/11, 77, 35, 28, 4, 1, 5
2017/3/12, 74, 38, 26, 5, 1, 6
2017/3/13, 75, 42, 36, 7, 1, 6
2017/3/14, 80, 33, 32, 2, 2, 5
2017/3/15, 65, 35, 40, 3, 2, 5
2017/3/16, 60, 41, 32, 3, 3, 6
2017/3/17, 67, 37, 27, 4, 1, 6
2017/3/18, 69, 37, 30, 4, 1, 6
2017/3/19, 72, 35, 31, 3, 1, 6
2017/3/20, 65, 31, 29, 3, 1, 5
2017/3/21, 63, 29, 27, 3, 1, 4
2017/3/22, 55, 30, 24, 5, 2, 4
2017/3/23, 59, 27, 22, 3, 1, 4
2017/3/24, 57, 28, 16, 4, 1, 5
2017/3/25, 64, 19, 30, 4, 1, 6
2017/3/26, 40, 15, 40, 4, 1, 6
2017/3/27, 37, 41, 46, 4, 1, 7
2017/3/28, 79, 47, 34, 6, 1, 7
2017/3/29, 82, 34, 24, 5, 2, 6
2017/3/30, 66, 29, 22, 7, 1, 5
2017/3/31, 57, 20, 39, 5, 1, 7
2016/10/1, 69, 29, 26, 8, 2, 7
2016/10/2, 57, 19, 30, 4, 1, 5
2016/10/3, 38, 30, 24, 9, 1, 6
2016/10/4, 56, 31, 37, 11, 1, 6
2016/10/5, 63, 26, 27, 9, 1, 6
2016/10/6, 46, 29, 49, 9, 8, 6
2016/10/7, 58, 39, 46, 9, 3, 7
2016/10/8, 79, 39, 44, 9, 2, 7
2016/10/9, 83, 32, 44, 8, 1, 7
2016/10/10, 73, 43, 69, 8, 1, 7
2016/10/11, 90, 35, 40, 10, 1, 7
2016/10/12, 69, 13, 24, 4, 1, 5
2016/10/13, 18, 11, 21, 2, 1, 4
2016/10/14, 18, 18, 26, 3, 1, 5
2016/10/15, 35, 37, 41, 7, 1, 6
2016/10/16, 78, 38, 28, 11, 1, 7
2016/10/17, 65, 22, 25, 2, , 5
2016/10/18, 23, 24, 25, 6, 1, 6
2016/10/19, 46, 33, 32, 10, 1, 7
2016/10/20, 62, 37, 34, 11, 1, 8
2016/10/21, 71, 43, 33, 10, 1, 8
2016/10/22, 76, 31, 23, 7, 1, 7
2016/10/23, 61, 25, 18, 5, 1, 6
2016/10/24, 39, 18, 28, 4, 1, 5
2016/10/25, 32, 23, 22, 3, 1, 5
2016/10/26, 49, 29, 21, 6, 1, 5
2016/10/27, 51, 29, 24, 6, 1, 5
2016/10/28, 51, 30, 32, 5, 2, 5
2016/10/29, 56, 28, 31, 3, 1, 5
2016/10/30, 54, 21, 29, 3, 1, 5
2016/10/31, 42, 35, 43, 3, 1, 6
2016/11/1, 66, 31, 42, 4, 1, 6
2016/11/2, 64, 31, 38, 6, 1, 5
2016/11/3, 67, 34, 56, 6, 1, 5
2016/11/4, 72, 39, 49, 7, 2, 6
2016/11/5, 75, 40, 29, 3, 1, 5
2016/11/6, 59, 22, 24, 3, 1, 5
2016/11/7, 47, 23, 24, 4, 1, 4
2016/11/8, 43, 32, 38, 4, 1, 6
2016/11/9, 65, 24, 48, 6, 1, 8
2016/11/10, 49, 17, 39, 6, 1, 7
2016/11/11, 34, 27, 33, 5, 1, 6
2016/11/12, 47, 26, 26, 5, 1, 5
2016/11/13, 46, 30, 28, 6, 1, 6
2016/11/14, 49, 30, 32, 6, 1, 5
2016/11/15, 57, 33, 32, 7, 1, 5
2016/11/16, 61, 35, 30, 7, 1, 6
2016/11/17, 65, 23, 24, 5, 1, 6
2016/11/18, 48, 28, 15, 5, 1, 7
2016/11/19, 47, 27, 16, 5, 1, 6
2016/11/20, 43, 20, 14, 5, 1, 5
2016/11/21, 30, 19, 13, 5, , 5
2016/11/22, 29, 19, 22, 6, 1, 5
2016/11/23, 30, 13, 24, 5, 1, 6
2016/11/24, 18, 12, 25, 4, 1, 6
2016/11/25, 22, 22, 33, 10, 1, 6
2016/11/26, 35, 30, 27, 8, 1, 7
2016/11/27, 47, 33, 46, 8, 1, 6
2016/11/28, 57, 26, 37, 9, 1, 7
2016/11/29, 56, 33, 38, 8, 1, 6
2016/11/30, 69, 49, 51, 9, 2, 6
2016/12/1, 104, 36, 45, 5, 1, 6
2016/12/2, 77, 22, 37, 4, 1, 5
2016/12/3, 49, 33, 39, 8, 1, 6
2016/12/4, 68, 37, 47, 9, 1, 6
2016/12/5, 84, 58, 48, 11, 2, 7
2016/12/6, 133, 49, 48, 6, 1, 6
2016/12/7, 97, 54, 83, 9, 2, 7
2016/12/8, 116, 67, 88, 15, 3, 7
2016/12/9, 136, 59, 75, 15, 2, 7
2016/12/10, 126, 44, 42, 5, 1, 5
2016/12/11, 74, 40, 32, 3, 5, 5
2016/12/12, 62, 36, 39, 3, 1, 5
2016/12/13, 58, 32, 39, 4, 1, 6
2016/12/14, 65, 28, 42, 5, 1, 8
2016/12/15, 67, 39, 48, 7, 1, 9
2016/12/16, 81, 38, 43, 5, 1, 7
2016/12/17, 75, 37, 37, 6, 1, 7
2016/12/18, 63, 35, 36, 4, 1, 6
2016/12/19, 54, 33, 46, 4, 1, 6
2016/12/20, 58, 30, 32, 5, 1, 5
2016/12/21, 56, 33, 37, 7, 1, 5
2016/12/22, 67, 37, 45, 6, 1, 7
2016/12/23, 75, 26, 31, 6, 1, 8
2016/12/24, 52, 41, 33, 4, , 6
2016/12/25, 67, 38, 31, 6, 5, 6
2016/12/26, 57, 35, 49, 8, 1, 7
2016/12/27, 62, 38, 38, 7, 1, 7
2016/12/28, 74, 36, 41, 8, 1, 7
2016/12/29, 85, 38, 44, 10, 1, 6
2016/12/30, 76, 19, 40, 5, , 5
2016/12/31, 42, , , , , 
2016/7/1, 47, 32, 24, 6, 2, 5
2016/7/2, 53, 25, 21, 7, 2, 5
2016/7/3, 39, 24, 23, 8, 1, 5
2016/7/4, 42, 26, 22, 5, 1, 5
2016/7/5, 44, 27, 23, 4, 1, 5
2016/7/6, 46, 17, 21, 5, 1, 5
2016/7/7, 33, 21, 20, 5, 2, 5
2016/7/8, 38, 14, 23, 4, 2, 4
2016/7/9, 30, 23, 26, 5, 2, 5
2016/7/10, 43, 24, 26, 6, 2, 5
2016/7/11, 47, 27, 34, 8, 4, 5
2016/7/12, 50, 22, 25, 7, 3, 5
2016/7/13, 41, 35, 27, 4, 1, 5
2016/7/14, 63, 34, 23, 6, 2, 5
2016/7/15, 56, 28, 27, 3, 2, 5
2016/7/16, 55, 27, 25, 3, 1, 5
2016/7/17, 51, 33, 26, 3, 1, 5
2016/7/18, 54, 37, 39, 2, 1, 5
2016/7/19, 53, 31, 19, 2, 1, 4
2016/7/20, 46, 21, 13, 2, 1, 4
2016/7/21, 28, 17, 13, 4, 1, 4
2016/7/22, 34, 15, 16, 3, 1, 4
2016/7/23, 33, 19, 16, 5, 1, 4
2016/7/24, 37, 20, 16, 5, 1, 4
2016/7/25, 39, 27, 18, 7, 1, 5
2016/7/26, 48, 23, 23, 5, 1, 5
2016/7/27, 46, 27, 17, 5, 1, 6
2016/7/28, 49, 21, 19, 5, 1, 6
2016/7/29, 34, 21, 19, 5, 1, 5
2016/7/30, 32, 21, 25, 6, 1, 5
2016/7/31, 43, 26, 27, 8, 1, 6
2016/8/1, 52, 16, 26, 6, 1, 4
2016/8/2, 35, 26, 27, 5, , 5
2016/8/3, 51, 25, 24, 5, 1, 5
2016/8/4, 39, 19, 23, 4, 1, 5
2016/8/5, 36, 22, 22, 6, 2, 5
2016/8/6, 37, 22, 23, 6, 1, 5
2016/8/7, 36, 27, 23, 8, , 5
2016/8/8, 41, 29, 24, 8, 1, 5
2016/8/9, 41, 28, 28, 7, 1, 6
2016/8/10, 51, 29, 23, 9, 1, 6
2016/8/11, 49, 18, 25, 7, 1, 5
2016/8/12, 29, 26, 27, 7, 1, 5
2016/8/13, 44, 24, 23, 7, 1, 4
2016/8/14, 39, 25, 34, 7, 1, 4
2016/8/15, 35, 22, 37, 6, 1, 4
2016/8/16, 28, 24, 23, 3, 1, 4
2016/8/17, 28, 37, 21, 3, , 4
2016/8/18, 45, 41, 26, 6, 1, 5
2016/8/19, 62, 39, 27, 12, 1, 7
2016/8/20, 64, 37, 24, 12, 2, 6
2016/8/21, 64, 32, 32, 8, 1, 6
2016/8/22, 56, 24, 25, 5, 1, 5
2016/8/23, 50, 31, 19, 8, 1, 5
2016/8/24, 58, 32, 24, 11, 2, 6
2016/8/25, 59, 37, 30, 10, 1, 6
2016/8/26, 70, 26, 27, 7, 1, 6
2016/8/27, 54, 38, 30, 10, 2, 7
2016/8/28, 71, 29, 40, 8, 2, 7
2016/8/29, 52, 23, 35, 8, 2, 6
2016/8/30, 48, 28, 26, 8, 3, 6
2016/8/31, 38, 24, 20, 7, 1, 5
2016/9/1, 31, 28, 31, 8, 1, 5
2016/9/2, 39, 19, 29, 7, 1, 5
2016/9/3, 35, 27, 17, 11, 1, 6
